Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
Jebus Bhrist,1,23,11,23.0
Jebus GBs,5,75,8,15.0
JebusTv,2,9,5,4.5
Jecht76,1,3,3,3.0
Jechts Sin,1,4,4,4.0
JeckoJ,4,40,16,10.0
Jed1 ChiKen,1,8,4,8.0
Jed1John,3,46,14,15.33
JedSF,1,6,5,6.0
Jedi Chosin,1,6,3,6.0
Jedi Joey Berry,1,8,5,8.0
Jedi Juan Jo,2,6,4,3.0
JediHighCouncil,1,6,4,6.0
JediLodge,1,3,3,3.0
JediMasterH3mp,1,5,4,5.0
JediMasterSaint,1,7,2,7.0
JediMossi,1,17,7,17.0
Jedicus,1,11,8,11.0
Jeditommy1,1,19,12,19.0
JeebiesCreebies,1,12,6,12.0
Jeeper Jo3,1,8,5,8.0
Jeeves1000,1,4,3,4.0
Jeezy713,1,5,4,5.0
Jefe Maestro 11,1,15,7,15.0
Jefe Sasuke,1,25,8,25.0
JefeMexicano117,2,35,14,17.5
Jeff2Billion,1,1,1,1.0
JeffRossFupa98,1,47,15,47.0
JeffRoxx,1,1,1,1.0
Jeffduder,5,20,14,4.0
Jeffrey3k,1,19,3,19.0
Jeffricka08,2,8,2,4.0
Jeffsim04,1,6,3,6.0
Jeffweena,1,13,7,13.0
Jeffzable,1,4,4,4.0
Jeglixx,1,40,15,40.0
Jeiemliebe,1,37,13,37.0
Jelldo89,1,10,8,10.0
JelllyBeen,35,202,24,5.77
Jelloton Man,1,8,2,8.0
Jelly Biscuits,1,23,3,23.0
Jelly Boxes,2,26,14,13.0
Jelly Fours,1,16,4,16.0
Jelly xT,4,38,8,9.5
JellyChicken,3,11,6,3.67
JellyMFBean,1,1,1,1.0
JellyfishH3R0,4,19,6,4.75
Jellyfissh,1,13,8,13.0
Jellyjamz,1,9,6,9.0
Jemaine854,1,6,3,6.0
Jen0vaCORE,1,6,3,6.0
Jender Benders,1,7,3,7.0
Jenia Isler,1,1,1,1.0
Jenizaro,1,1,1,1.0
Jenkeles,1,8,4,8.0
Jennifer Dances,4,63,12,15.75
Jenova607,10,120,17,12.0
Jeppelicious,1,10,6,10.0
JerB34R,3,25,7,8.33
JerTheNinjaZX6R,1,12,4,12.0
Jercat,3,26,8,8.67
Jerebear4,1,1,1,1.0
Jerec89,2,36,6,18.0
Jeremiah9i23,1,13,9,13.0
JeremiahCA,1,3,3,3.0
JeremyLovesYou,3,58,22,19.33
JerkSkin33,1,11,9,11.0
Jerkenit,2,4,4,2.0
Jerksis23,1,7,4,7.0
JerkyAnteater31,1,5,4,5.0
JerkyHobo,1,15,8,15.0
JerkyWalnut,1,4,3,4.0
Jermaine Ya Boy,1,6,6,6.0
Jermo414,3,28,12,9.33
Jermzball,2,25,12,12.5
Jermzors,1,5,2,5.0
Jerome C 92 SII,1,8,5,8.0
Jerome O92 SII,1,9,6,9.0
Jerry so wavii,2,11,6,5.5
Jerry8394,1,14,8,14.0
JerseyBoy52,1,12,8,12.0
Jersh Shafano,1,3,3,3.0
Jerson117,1,3,2,3.0
Jesse Gamez,1,6,4,6.0
Jesse Hobson,1,10,4,10.0
Jesse7424,1,5,3,5.0
Jesse814,1,3,3,3.0
JesseGodly,1,14,11,14.0
JesseInsanity,2,29,12,14.5
JesseIsNinja123,1,2,2,2.0
JesseSse,1,28,14,28.0
JesseThRiZLE,1,12,8,12.0
Jesseffer41,1,8,3,8.0
Jessep24,1,1,1,1.0
Jessica in Rage,2,14,10,7.0
JessieBLU16,1,21,10,21.0
Jessinstein,1,5,1,5.0
Jest 6inarow,1,22,12,22.0
Jest3r 2 1 7,11,193,13,17.55
Jestaz,1,17,8,17.0
Jester AF,1,13,7,13.0
Jester44601,1,8,2,8.0
JestrFTW,35,556,56,15.89
JesuSxINxAxBox,1,6,3,6.0
JesuZs BR,1,6,4,6.0
Jesus Barbon,1,10,6,10.0
Jesus Eduardo15,1,14,5,14.0
Jesus Metal lml,5,41,10,8.2
Jesus Saves Bro,2,24,16,12.0
Jesus and booze,5,43,16,8.6
Jesus in Malibu,2,64,26,32.0
Jesus777Freak,1,5,5,5.0
JesusFreak8I,1,11,9,11.0
JesusMrtz0,1,5,4,5.0
JesusduPontet,1,10,8,10.0
Jesusfreak718,1,2,2,2.0
Jet Black W01f,1,4,1,4.0
Jet Lagged,1,35,10,35.0
Jet Maelstrom,2,29,14,14.5
Jet Robin,3,38,7,12.67
Jet Sreym,1,46,22,46.0
Jet Yee,1,14,8,14.0
JetFire S358,1,14,8,14.0
JetFuelOg408,1,4,4,4.0
JetGravy X,4,38,11,9.5
JetLiferScott,2,13,5,6.5
JetPackGirl343,2,21,10,10.5
JetZyos x117,1,25,7,25.0
JethroTV,5,92,24,18.4
Jetza123,1,6,3,6.0
Jeudiel,2,45,21,22.5
Jevvelry,1,11,5,11.0
Jew Blackington,10,145,22,14.5
Jew1shBigf00t,1,17,6,17.0
JewBacca055,1,10,1,10.0
JewBear The One,1,10,9,10.0
Jewdoh,3,20,6,6.67
JewishCupCake69,1,5,1,5.0
JewsHaveMagic,1,12,7,12.0
JeyPyMataPerros,5,44,16,8.8
Jezzy B Rad,1,4,2,4.0
JfullAmetalK,3,59,20,19.67
Jgard41,1,5,5,5.0
Jhagen Hghar,1,23,11,23.0
JhawksMich,1,7,6,7.0
Jhe1125,2,44,21,22.0
JhonBjorg,1,9,7,9.0
JiMMiE300,1,3,3,3.0
JiMmy5120,1,21,8,21.0
JiNzOKiLLa,2,9,4,4.5
Jibberty,1,10,5,10.0
JiffyFluffyNuts,1,6,1,6.0
JigSmith,1,9,5,9.0
Jigat,4,28,14,7.0
JiggerMcNasty,1,7,2,7.0
Jiggily Penguin,1,2,1,2.0
JigglyPnff,8,78,5,9.75
JigsawsXbrother,2,24,10,12.0
Jiimmy Rose,1,7,5,7.0
Jikno,1,24,15,24.0
Jim Grungerson,1,9,5,9.0
Jim McMillan,1,11,6,11.0
Jim Slayhey,1,18,12,18.0
Jim Uhrig,1,1,1,1.0
Jim Van Note,1,4,4,4.0
Jim peace,1,11,5,11.0
JimLaheysDrink,1,11,2,11.0
JimRaynor007,1,5,3,5.0
Jimbo,3,46,8,15.33
Jimbo Janglez,3,22,4,7.33
JimboAkimboSlis,1,10,8,10.0
JimboBaggySacks,1,7,4,7.0
JimboSlice638,3,26,13,8.67
Jimbossity,1,15,13,15.0
Jimdoeee,1,17,3,17.0
Jimfish II,1,3,3,3.0
Jimi74,2,34,17,17.0
Jimitron147,3,26,10,8.67
Jimmbabwe,1,28,11,28.0
Jimmer268,1,1,1,1.0
JimmieBaller26,5,35,12,7.0
Jimmijify,1,1,1,1.0
Jimmy DTV,1,1,1,1.0
Jimmy J Skull,1,4,3,4.0
Jimmy head420,1,9,9,9.0
JimmyJlMBO,1,17,10,17.0
JimmyKuddo,1,6,4,6.0
JimmyOB,1,10,4,10.0
JimmyTheCeltic,1,11,8,11.0
JimmyTheElitist,3,43,17,14.33
JimmyX50,1,50,9,50.0
Jimmychunga,1,3,3,3.0
Jimothy45,1,12,7,12.0
Jimzydoodah,1,22,9,22.0
Jingle Town,2,13,7,6.5
Jinglefist,1,16,3,16.0
Jingleheimmer,1,21,9,21.0
JinjaBaker45,1,5,4,5.0
Jinshirou,1,1,1,1.0
Jinx Saturn,1,20,7,20.0
Jinzaw7,1,11,2,11.0
Jirell,4,45,13,11.25
Jiro,1,8,5,8.0
JisaiahE,1,8,4,8.0
JitterBugDjent,2,15,8,7.5
JitteryPython,1,10,4,10.0
Jive Turkey 603,5,23,8,4.6
JiveBy,2,13,4,6.5
JiveCarp74750,1,24,10,24.0
JiveGnat3209344,1,20,11,20.0
JiveKarma1,1,12,6,12.0
JiveRumble43109,1,7,6,7.0
JiveTurkeyMFrs,1,8,7,8.0
Jivysaur,1,16,5,16.0
Jiza1981,1,8,6,8.0
Jiztermination,6,79,14,13.17
Jkal,1,5,3,5.0
Jkilla04,1,4,3,4.0
Jm808FTWIN,1,3,1,3.0
Jma IZ bAcK,1,11,9,11.0
Jmacfox713,1,16,10,16.0
Jmags,1,7,4,7.0
Jmain77,1,2,1,2.0
JmanManuel,1,9,6,9.0
Jmanbarbarian,1,13,10,13.0
Jmffn360,11,107,17,9.73
Jmk9780,5,29,10,5.8
Jmomo,1,1,1,1.0
Jmzroxthehouse,1,44,14,44.0
Jnasty3936,1,13,3,13.0
Jnastyfvr,1,9,7,9.0
JnastyxXx,1,3,3,3.0
Jnewts5,1,8,4,8.0
Jo Cool 86,4,75,21,18.75
Jo0nZ,4,18,9,4.5
Jo3Mama11,1,8,7,8.0
JoHnXxXjOhNxXx,1,9,5,9.0
JoJo llyKer,4,54,17,13.5
JoJoZz LiMeZz,7,87,9,12.43
JoJoe Daddy,2,26,14,13.0
JoK1nGs,1,13,7,13.0
JoKe Prodigy,1,10,5,10.0
JoKeRz PR,1,8,4,8.0
JoLicious671,2,34,5,17.0
JoNaThAnPR22,1,20,7,20.0
JoNeS PwNs,1,14,7,14.0
JoOsE9999,1,20,10,20.0
JoRiZz,1,10,1,10.0
JoRo Swaggins,1,16,4,16.0
JoRxxEl,1,32,15,32.0
JoSePhOB4,5,26,8,5.2
JoSh xPRx,1,9,5,9.0
JoXL5000,1,12,3,12.0
Joaco spartan45,1,2,2,2.0
JoaoGxD182,1,11,9,11.0
Joarsh,3,51,9,17.0
JoblessParrot99,1,39,15,39.0
Jobotree,1,14,5,14.0
Joboy,3,31,12,10.33
Joboy09,1,8,8,8.0
Jobreezy FTW,1,2,2,2.0
JockBiddingHons,1,14,9,14.0
Jockchecker26,1,10,2,10.0
Jockmn305,1,2,2,2.0
Jodi Joe1,1,12,6,12.0
JodieFosterSTKR,2,18,11,9.0
Jody Megazoid,2,24,6,12.0
Jody Prod,2,45,8,22.5
Joe Fitzgibbon,1,8,4,8.0
Joe Fries,1,6,2,6.0
Joe Giambalvo,1,12,5,12.0
Joe Pepitone,3,16,10,5.33
Joe T8,3,17,8,5.67
Joe The Hamster,1,5,2,5.0
Joe1082,1,9,4,9.0
JoeBox892,1,8,4,8.0
JoeChop14,1,13,4,13.0
JoeDaKoo,1,27,11,27.0
JoeDirte34,1,22,11,22.0
JoeKiller101,1,2,1,2.0
JoeL Mx,1,6,4,6.0
JoeMAs420,2,22,8,11.0
JoeMShire,1,19,10,19.0
JoeMetalhead,1,23,16,23.0
JoePaSP,1,8,3,8.0
JoeSki73,1,4,2,4.0
JoeTRB,5,46,5,9.2
JoeTay84,1,9,5,9.0
JoeThePro123411,1,21,18,21.0
JoeWee415,1,17,11,17.0
Joel 90210,2,35,12,17.5
Joel1007,1,13,11,13.0
JoelSantosM,6,54,14,9.0
Joemama233,1,9,5,9.0
Joeman1859,2,25,17,12.5
Joemomma421,2,20,7,10.0
Joepa15,1,18,6,18.0
Joester18c,1,5,4,5.0
Joeverrated,2,21,7,10.5
Joewilkill,1,9,8,9.0
Joey Clutch IV,1,2,2,2.0
Joey Craddock,1,6,2,6.0
Joey Fin,1,7,4,7.0
Joey Nava,1,21,12,21.0
Joey Thunda,1,19,3,19.0
Joey TuStrong,1,2,2,2.0
Joey Whaley,1,11,8,11.0
Joey Yogi,5,28,11,5.6
Joey is Active,1,16,5,16.0
JoeyCIutch,1,17,8,17.0
JoeyL326,1,3,3,3.0
JoeySever10,2,2,2,1.0
JoeyTh13teenth,1,10,5,10.0
Joeyous,99,926,65,9.35
Joeyy FresH,3,26,12,8.67
Joez10,1,24,13,24.0
Johann OG,1,6,3,6.0
Johhny Polygon,1,2,1,2.0
John Adam Yount,2,16,8,8.0
John Forerunner,1,17,7,17.0
John Gaspar,1,6,4,6.0
John Gerrald,1,17,12,17.0
John InVictus,3,15,9,5.0
John Meyhem,2,24,9,12.0
John Ridikas,1,4,2,4.0
John ShepardN73,1,10,5,10.0
John Vickk,1,11,6,11.0
John is Trying,3,22,3,7.33
John of Carlo,1,1,1,1.0
John117son,2,12,5,6.0
JohnAng3l,2,7,5,3.5
JohnGarcia117,1,7,2,7.0
JohnKreeseFTW,2,34,17,17.0
JohnLovesGaming,3,42,12,14.0
JohnNixx6,1,3,3,3.0
JohnReedaBook,1,18,10,18.0
JohnTheFihermen,3,52,17,17.33
JohnWickk,3,36,12,12.0
Johnmarco1995,2,6,5,3.0
JohnnieB0Y,1,7,4,7.0
Johnny 0h,1,48,22,48.0
Johnny 2 Tymez,1,2,2,2.0
Johnny BOI Wins,2,35,17,17.5
Johnny Barns,1,3,3,3.0
Johnny BigSack,1,13,9,13.0
Johnny Johnston,1,9,7,9.0
Johnny Kennedy,3,60,18,20.0
Johnny Kibbs,1,15,6,15.0
Johnny Scissors,2,9,6,4.5
JohnnyBKillen,1,6,5,6.0
JohnnyBallistic,8,49,15,6.12
JohnnyBiscuit22,1,5,2,5.0
JohnnyBizcuits,1,12,2,12.0
JohnnyBroomshot,1,8,3,8.0
JohnnyJamBoogey,1,4,2,4.0
JohnnyKool,6,22,9,3.67
JohnnyQuest20,1,2,2,2.0
JohnnyReb70,1,7,6,7.0
JohnnyTheWolf69,1,1,1,1.0
JohnnyVicious27,2,13,8,6.5
JohnnyWaters XO,1,8,5,8.0
JohnnyZ Cake,2,23,9,11.5
Johnnyboy115 VQ,1,7,5,7.0
Johnnyfive5150,1,9,6,9.0
Johnson Juicy,2,5,2,2.5
Johnteshfan,1,5,2,5.0
Johnx760x,1,22,12,22.0
Johnymcfudge,2,24,10,12.0
Johnzy19,1,4,2,4.0
Join Uncle SAM,1,7,5,7.0
JojoOcoco,1,15,10,15.0
Joka Xtreme,1,16,4,16.0
Joke aP,1,12,8,12.0
Joken20,1,6,5,6.0
Joker40,1,12,10,12.0
Joker484848,1,2,2,2.0
JokerEzio85,1,24,7,24.0
JokerLeto,1,13,6,13.0
JokerSC 9712,5,27,11,5.4
JokerX69,1,21,6,21.0
JokerXX7,1,1,1,1.0
Jokers Sniiper,2,32,13,16.0
Jokersflush,1,6,2,6.0
Jokerstruth,1,18,9,18.0
JokingMcruz,1,5,5,5.0
JokingPsycho13,1,9,6,9.0
Jol1y Red Giant,1,30,6,30.0
Jolg16,3,52,7,17.33
Jolley34,2,24,10,12.0
Jollopy,1,5,2,5.0
Jolly Gimp,1,14,7,14.0
Jolly Good Man,12,68,21,5.67
Jolly Josh,8,53,14,6.62
JollyBunny14999,1,5,2,5.0
JollyCalf231731,1,1,1,1.0
JollyCalf981244,1,1,1,1.0
JollyColt604677,1,20,10,20.0
JollyFawn819798,2,47,18,23.5
JollyFoal506597,1,4,4,4.0
JollyJoey659124,1,9,5,9.0
JollyKitten7972,3,16,10,5.33
JollyLoneGiant,1,8,2,8.0
JollyPup1781497,1,5,4,5.0
JollyPup1996230,1,7,5,7.0
JollyPup5768986,2,47,9,23.5
JollyPup9352756,1,9,8,9.0
JollyRabbit6596,1,9,3,9.0
JollyRogersOne,1,15,5,15.0
JollyTheDude,1,7,7,7.0
Jollymann4,1,9,7,9.0
Joltsa,1,1,1,1.0
Jomirocam,1,10,4,10.0
Jomon Prime,4,31,10,7.75
Jon Ganjales,3,27,10,9.0
Jon Is Trying,1,13,7,13.0
Jon Roskam,1,4,3,4.0
Jon Spillane,1,7,2,7.0
Jon Vandersmitt,1,13,3,13.0
Jon from church,2,27,10,13.5
JonBonanza,1,16,10,16.0
JonCortina,2,33,16,16.5
JonFromTheBlock,6,61,6,10.17
JonGruesome,1,20,10,20.0
JonHeDoesIt,1,16,11,16.0
JonMonster,1,23,9,23.0
JonN4theKill,1,4,3,4.0
Jona InDa Port,1,9,5,9.0
Jonahs Curse,4,14,6,3.5
Jonathan41,1,8,2,8.0
JonathanAn007,1,6,4,6.0
JonathanDJones4,1,1,1,1.0
JonathanEpton40,2,20,11,10.0
Jonathon 117,1,10,6,10.0
Jonathon Walton,1,4,3,4.0
Jonesy,1,10,5,10.0
Jonfdursis,1,20,9,20.0
Jonh Cena 2701,1,6,4,6.0
Joni3271,1,17,5,17.0
Jonjtyu,1,23,8,23.0
JonnHB987,1,10,6,10.0
Jonna Wolf,1,14,7,14.0
JonnaMiranda,2,11,7,5.5
JonnieBeawr,1,14,10,14.0
Jonny Boi 070,2,17,11,8.5
Jonny Jooth,18,133,19,7.39
JonnyB 2p0,4,18,9,4.5
JonnyB117,2,23,13,11.5
JonnyBangBaaang,1,20,12,20.0
JonnyJon3438,1,2,2,2.0
JonnyLots,3,14,4,4.67
JonnyMusk,4,64,21,16.0
Jonnybeatdown23,1,3,1,3.0
Jonnyboy1117,1,5,4,5.0
Jonnyjustice,1,3,2,3.0
Jonnyx BLaccOUT,1,1,1,1.0
Jonothun,1,3,2,3.0
Jonsah,2,10,8,5.0
Jontie96,4,63,17,15.75
Jony10501,1,3,3,3.0
JooBird420,1,3,2,3.0
JooaCkoo,1,7,5,7.0
Jook731,1,8,4,8.0
Jooni15,1,14,10,14.0
Jooth 1,62,866,18,13.97
Joothy,1,1,1,1.0
JorAl2811,1,1,1,1.0
JordFrost92,1,40,16,40.0
Jordan Sota,1,14,9,14.0
Jordan117,2,31,10,15.5
Jordan1530,1,10,5,10.0
JordanMcC16,1,6,3,6.0
JordanSierra117,1,29,12,29.0
Jordano Oliva,1,1,1,1.0
JordawnTheJew,1,14,10,14.0
JordiRouH,2,11,7,5.5
Jordo285,1,15,4,15.0
JordoHammer,1,9,6,9.0
Jorduhnn,3,42,6,14.0
Jorek,45,755,70,16.78
Jorge S369,1,9,6,9.0
Jorge305M,1,10,7,10.0
JorgeMaldonado4,1,11,5,11.0
Jorrdan Michael,1,5,4,5.0
Jorwee95xDD,2,15,11,7.5
JosBDestroyah,1,5,4,5.0
JosBreezyEasy,1,1,1,1.0
JosH iz LeggiT,1,7,5,7.0
JosROB24,3,26,13,8.67
JoseAntonioRG3,1,9,5,9.0
JoseBG11,1,3,2,3.0
JoseN32,2,11,7,5.5
JosePHX95,5,56,11,11.2
Joseapoloa1,1,10,3,10.0
JosecVega,1,7,2,7.0
Josema Sanchez,1,2,2,2.0
Joseph883,1,15,7,15.0
JosephOnXboxOne,1,16,11,16.0
JosephSmith685,3,35,20,11.67
JosephSquaddd,1,18,10,18.0
JosephT45d,1,9,7,9.0
Joseru49,1,10,6,10.0
Josh Assassin2,10,96,20,9.6
Josh Has,1,23,5,23.0
Josh SL1,2,49,16,24.5
Josh Taylorr,1,5,4,5.0
Josh The Homie,1,14,6,14.0
Josh X Martian,1,3,2,3.0
Josh spartan1,1,12,6,12.0
Josh x 45,1,6,4,6.0
Josh117sniper,1,1,1,1.0
JoshCB13,1,8,6,8.0
JoshExe,4,26,9,6.5
JoshIsZooted,5,42,20,8.4
JoshLags,4,24,7,6.0
JoshSlam,1,2,2,2.0
JoshTheFluffy,1,3,3,3.0
JoshXAdams,3,33,10,11.0
JoshZilla82,1,1,1,1.0
Joshcoolguy12,2,3,3,1.5
Joshe 343,1,20,3,20.0
Joshefeller,1,9,5,9.0
JoshiaPookalino,1,9,7,9.0
Joshosaurus,1,27,8,27.0
Joshrios33,1,18,10,18.0
Joshs Rod,1,3,1,3.0
Joshua Huggins,3,25,9,8.33
Joshua5555,4,35,13,8.75
JoshuaArchibald,3,73,25,24.33
JoshuaC91,1,9,3,9.0
JoshuaCoolFace,1,11,8,11.0
JoshuaDLC,1,5,4,5.0
JoshuaMaster,5,36,12,7.2
JoshuaResolute,1,4,3,4.0
Joshuwaaaaaaaa,1,6,4,6.0
Joshy X3,1,14,9,14.0
Josith05,5,50,20,10.0
Joska UMS,1,5,4,5.0
Jospliff,1,19,4,19.0
Jossee Mariio,1,2,2,2.0
Jostem97,3,32,9,10.67
Josue skywalker,2,12,8,6.0
Joswaye Rivera,2,5,3,2.5
JotaEdge,1,18,9,18.0
Jotar98,1,1,1,1.0
Journeyman1701,1,2,2,2.0
JovanZurita345,1,1,1,1.0
Jovekan,1,4,3,4.0
JovialAverage4,2,20,7,10.0
Jovian,2,25,11,12.5
Joweee2386,1,6,5,6.0
JoyAndJoyness,2,6,3,3.0
JoylessRanger70,1,8,4,8.0
Joyslays,3,27,11,9.0
Jozt,2,43,15,21.5
Jozy,1,2,1,2.0
Jp0102,1,2,2,2.0
JpBaeby,1,6,2,6.0
JpS l bob,1,10,5,10.0
Jpie24,1,10,5,10.0
Jpzapq,1,11,6,11.0
Jquan R A I D,1,14,7,14.0
Jr HIIICTOR,1,5,5,5.0
Jr Lumberjack,1,10,7,10.0
Jr Rage,1,6,1,6.0
Jr Yeezy,1,6,3,6.0
Jr3v3rs0n,4,30,9,7.5
JrOoD47,1,28,18,28.0
JrPmD34,1,6,6,6.0
JrantanplanC,1,10,6,10.0
Jrayr,1,10,6,10.0
Jre1z,1,8,3,8.0
Jredhawk23,1,18,5,18.0
Jreyes,1,28,17,28.0
JrgxTrouble,1,3,2,3.0
Jrobbbbbbb,1,8,5,8.0
Jrvd1,1,7,6,7.0
Jryan4000,1,12,7,12.0
Jsarcs66,1,9,4,9.0
Jschna,1,6,5,6.0
Jstar2010,1,6,4,6.0
JstifidePun,1,19,4,19.0
JtheDruggernaut,2,29,11,14.5
Jtheism,1,9,5,9.0
Jtheme,1,13,3,13.0
Jts Salty Cheek,1,6,2,6.0
JtxTheSniper,10,228,44,22.8
Jtz Dalton,1,10,4,10.0
Jtz James,1,6,2,6.0
Ju5t0,1,16,7,16.0
JuAnDiMaS45,1,8,5,8.0
JuEgoXpRoDiGy,2,22,7,11.0
JuGgErS,1,4,2,4.0
JuJuBlitz,1,12,8,12.0
JuLi0XD,1,23,11,23.0
JuMp 2 My Lou,1,10,6,10.0
JuS2NaStY BC,2,40,18,20.0
JuSheng21,1,2,2,2.0
JuSt EL1suR,1,54,18,54.0
JuSt PaSa,1,1,1,1.0
JuStCaLLMeEriC,1,2,2,2.0
JuStReLaXiNn,1,10,5,10.0
Juan Ca 92,1,4,3,4.0
Juan Solo 9,1,11,7,11.0
Juan10791128,2,8,4,4.0
Juan117S,2,19,7,9.5
JuanLuisMR,2,20,9,10.0
JuanPchipSicsik,4,57,12,14.25
JuanSniper16,2,32,13,16.0
Juanitokun26,1,2,2,2.0
Juanp234,1,1,1,1.0
Juanted in USA,3,13,6,4.33
Juantrud16,2,22,5,11.0
Juantsu,1,10,6,10.0
JubJubTheDog,3,39,20,13.0
Jubin,15,109,20,7.27
Jubinality,5,17,7,3.4
Judd7,5,48,8,9.6
Jude,1,8,7,8.0
Judge Drunk,1,7,1,7.0
Judge501,1,16,7,16.0
Judge921,1,17,10,17.0
JudgeFudge1620,1,9,8,9.0
JudgedBeet53799,3,17,9,5.67
JudgedVitality,1,2,2,2.0
Judgement 63,1,3,2,3.0
Judgement Day2,1,23,7,23.0
Judgement Owl,1,8,6,8.0
Judgements Oath,1,15,7,15.0
Judweiser Co,1,7,4,7.0
Judy Hopps ZYPD,3,21,9,7.0
Jugador32112380,1,6,6,6.0
Jugador93187144,1,5,5,5.0
JuggerGOOSE,1,15,8,15.0
JuggerLegend,2,17,12,8.5
JuggerN0t,3,13,6,4.33
JuggerNord,1,6,3,6.0
Juggernaut1207,2,35,13,17.5
Juggernaut82,1,15,10,15.0
JuggernautAJ,2,10,5,5.0
JuggernautBidge,1,2,2,2.0
JuggernautXIV,1,6,4,6.0
Juggernautsfury,1,5,4,5.0
Jugwuar,1,14,6,14.0
Juh Jesse,5,56,18,11.2
JuhJoeLo,1,11,6,11.0
JuiCy JoE19,1,11,3,11.0
Juice Box 2k,1,11,5,11.0
Juice Tricks,1,6,6,6.0
JuiceBox Dirts,1,28,11,28.0
JuiceBox119,1,5,5,5.0
JuiceMan530,1,11,4,11.0
Juicepapaya44,1,10,3,10.0
Juicy CV,2,36,10,18.0
Juicy Jigglez,21,274,12,13.05
Juicy Tear,1,30,16,30.0
Juicy Walrus420,1,7,4,7.0
JuicyChipmunk87,2,17,8,8.5
JuicyFreshCakes,1,8,6,8.0
JuicyHippo95,1,4,3,4.0
Juicysnax,1,25,13,25.0
Juif 27,1,19,11,19.0
Juiiiiiiiicy J,1,11,5,11.0
Juipo,2,16,4,8.0
Juizyy,2,26,11,13.0
Juke80X,3,31,14,10.33
JukingNPoopin,1,1,1,1.0
Jul Mdama 343,1,31,18,31.0
Juli R 420,5,60,16,12.0
JuliaRagdoll,1,13,4,13.0
Julian Olivier,1,22,13,22.0
Juliana Held,1,6,1,6.0
Julians Rum,2,33,6,16.5
Julio ZiZoU,1,1,1,1.0
Julio123Cesar,1,7,4,7.0
Juliosky95,1,4,4,4.0
Julious948,1,12,2,12.0
Julle,2,7,3,3.5
Juls JRM,1,17,12,17.0
Julsenberg,3,36,12,12.0
JumaNightMare,5,45,9,9.0
Jumbo Onions,1,12,5,12.0
JumboJoe77,1,6,3,6.0
JumboJumboPlate,1,12,6,12.0
JumboMacaroon47,1,18,8,18.0
JumboSized,1,1,1,1.0
Jumby DiPseT Xx,1,19,9,19.0
JumpJetJ,2,49,21,24.5
JumpSmashPwn,1,6,5,6.0
JumpandBlainn,1,29,7,29.0
Jumperz Cr,1,12,3,12.0
Jumpmanjam666,2,14,5,7.0
JumposauR,2,25,6,12.5
Jumppii 12v,1,4,3,4.0
Jumpyy 4,2,37,15,18.5
Jun pohpuh Ak47,1,11,8,11.0
June 13 1987,1,26,11,26.0
Jungle5nake,1,7,4,7.0
JuniorBacon12,6,69,25,11.5
JuniorSkills,1,5,4,5.0
JuniorXMaster,1,4,4,4.0
JunkRacketeer99,1,6,4,6.0
Junkert,1,8,4,8.0
Junky Guitarist,1,28,11,28.0
JunkyardOg8,2,15,4,7.5
Junos Coin,1,15,4,15.0
JunyaC23,1,18,6,18.0
Jurasikk,1,10,5,10.0
JurassicJoPo,2,43,16,21.5
JurassicRUSS,1,11,11,11.0
Jurely,1,8,7,8.0
Jurgis Rudkis,1,7,4,7.0
Jurneymann,1,1,1,1.0
Jus Bring It,1,26,6,26.0
JusT Extreme7,1,9,2,9.0
JusT ImPROvE,7,122,27,17.43
JusT Nvrdii,2,16,4,8.0
JusT ReFLeXz,1,5,1,5.0
JusTSomEChiLenO,1,2,2,2.0
JusTiN Ceeeeeee,2,5,5,2.5
JusTryin,1,10,8,10.0
JusXice,1,2,2,2.0
Just Aggression,1,23,5,23.0
Just An Expert,1,3,3,3.0
Just Archaic,1,7,3,7.0
Just BOBMAN,1,4,2,4.0
Just Blaze Man,1,8,3,8.0
Just Creation,1,7,4,7.0
Just DREWIN it,1,14,6,14.0
Just Entity,1,20,11,20.0
Just Grif,1,17,4,17.0
Just Guardian,1,6,4,6.0
Just Hayze,1,18,10,18.0
Just Iron,2,32,15,16.0
Just Juiceman,1,3,1,3.0
Just Klepto,1,3,2,3.0
Just Kraus,1,5,4,5.0
Just Lovin It,1,4,2,4.0
Just One Blowie,1,5,3,5.0
Just Pernix,3,21,11,7.0
Just Praggy,1,6,2,6.0
Just SCREAMMM,2,7,3,3.5
Just Spencerbug,2,34,7,17.0
Just The Loser,1,10,7,10.0
Just Too Filthy,1,38,11,38.0
Just Yusef,1,14,8,14.0
Just a G0ldfish,1,20,10,20.0
Just1Porkchop,1,2,1,2.0
Just1ceBeav3r,1,5,2,5.0
Just2Platypus,1,14,3,14.0
JustCRO17,1,3,3,3.0
JustCallMeAnt,1,19,7,19.0
JustCallMeCat23,1,14,8,14.0
JustCallMeTip22,1,11,7,11.0
JustDelta824,1,14,8,14.0
JustDoopliss,1,27,5,27.0
JustG3tTh3Nut5,2,42,16,21.0
JustHyp3r,1,7,5,7.0
JustInsane70,1,22,12,22.0
JustMatt2,1,4,3,4.0
JustMatthew95,1,9,3,9.0
JustNaxxis,3,21,7,7.0
JustOutofReach7,4,24,7,6.0
JustSayNoRegan,2,5,3,2.5
JustStormy,1,35,15,35.0
JustTho,1,14,8,14.0
JustTrain7,1,2,1,2.0
Justaskoch,1,15,8,15.0
