Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
A1D1 ManTis,2,13,5,6.5
A1FlankSauce,1,4,3,4.0
A1M1GH7Y R34P3R,1,8,6,8.0
A1ex08,1,4,3,4.0
A1ways Savage,4,11,5,2.75
A2A31 Guit4r,1,16,10,16.0
A2D Ripper,3,35,10,11.67
A2M G00FY,1,33,14,33.0
A2WheeLRidAhF0o,1,4,2,4.0
A3K1,1,22,9,22.0
A3LeggedKiller,1,9,7,9.0
A3ON 0f CH405,1,2,1,2.0
A40 Astros,1,3,2,3.0
A493,1,22,4,22.0
A4L BlisterinG,2,6,3,3.0
A4LCJ420,1,7,6,7.0
A4fghanKush,1,7,4,7.0
A55AS5IN,1,2,2,2.0
A5CENDED,2,33,9,16.5
A5PHALT 365,1,19,8,19.0
A6yearoldlegend,1,4,2,4.0
A779R,1,13,10,13.0
A7X BADDY ELITE,2,38,15,19.0
A7X Rox2121,1,16,10,16.0
A7X Vzionz,1,1,1,1.0
A7XmuRderu,1,5,5,5.0
A7x rOy,1,11,8,11.0
A9 Silent,3,18,6,6.0
A991807,1,13,9,13.0
AA B Mac,5,57,26,11.4
AA MasterLegend,1,14,5,14.0
AA Ravage,5,57,23,11.4
AA SAULPOWER AA,2,14,6,7.0
AA25 Mamba,1,11,7,11.0
AAA RULEZ 55,1,3,3,3.0
AAARGON,2,28,4,14.0
AAD57L,1,11,9,11.0
AANNGEEEELOO,1,5,3,5.0
AARONDA20,1,9,7,9.0
AAvAAtAAr,1,4,3,4.0
AAxx Demon xxAA,2,19,12,9.5
AB Kiske RL,2,21,12,10.5
AB0UT73PUPPIES,1,19,11,19.0
ABALUDE,3,18,12,6.0
ABAR63,1,7,7,7.0
ABATE23,2,39,16,19.5
ABAX167,1,16,10,16.0
ABC10104,1,3,1,3.0
ABCDZ 1470,1,4,4,4.0
ABENTLEY99,1,2,2,2.0
ABIOTICO,1,16,11,16.0
ABLT21,1,3,3,3.0
ABMGiannini,1,1,1,1.0
ABN MOSTHATED,1,7,2,7.0
ABONE117,1,6,5,6.0
ABOOGAH,1,6,4,6.0
